Rank,Name,Association,Rcellc,PID
1,LIN Shidong,CHN,8675,137237
2,WANG Chuqin,CHN,5275,121558
3,CALDERANO Hugo,BRA,4575,115641
4,HARIMOTO Tomokazu,JPN,4550,123980
5,LIANG Jingkun,CHN,3900,119588
6,LEBRUN Felix,FRA,3220,135977
7,MOREGARD Truls,SWE,3155,122044
8,LEBRUN Alexis,FRA,2420,132992
9,XIANG Peng,CHN,2270,135888
10,JORGIC Darko,SLO,2070,118927
11,QIU Dang,GER,2040,114715
12,LIN Yun-Ju,TPE,1960,121582
13,DUDA Benedikt,GER,1845,116620
14,FRANZISKA Patrick,GER,1610,102832
15,KALLBERG Anton,SWE,1550,116853
16,LIN Gaoyuan,CHN,1540,115910
17,AN Jaehyun,KOR,1445,121514
18,JANG Woojin,KOR,1351,114936
19,MATSUSHIMA Sora,JPN,1280,135996
20,OVTCHAROV Dimitrij,GER,1255,107028
21,OH Junsung,KOR,1240,135367
22,LIND Anders,DEN,1180,115029
23,LEE Sang Su,KOR,1170,105197
24,KAO Cheng-Jui,TPE,1160,132824
25,ARUNA Quadri,NGR,1155,112092
26,GROTH Jonathan,DEN,1145,112409
27,ASSAR Omar,EGY,1125,100696
28,CHEN Yuanyu,CHN,1120,135050
29,SHINOZUKA Hiroto,JPN,1115,134442
30,JHA Kanak,USA,1045,116021
31,TOGAMI Shunsuke,JPN,1015,133694
32,UDA Yukiya,JPN,968,122777
33,PORET Thibault,FRA,888,134718
34,ZHOU Qihao,CHN,750,119533
35,WALTHER Ricardo,GER,744,109946
36,PUCAR Tomislav,CRO,705,116532
37,XUE Fei,CHN,694,121412
38,LUU Finn,AUS,650,131798
39,LUM Nicholas,AUS,645,134800
40,BAE Hwan,AUS,643,134803
41,TANAKA Yuta,JPN,643,131375
42,ROBLES Alvaro,ESP,640,111050
43,REDZIMSKI Milosz,POL,598,135019
44,GAUZY Simon,FRA,595,112062
45,LIM Jonghoon,KOR,580,117357
46,ISHIY Vitor,BRA,579,117312
47,CHO Daeseong,KOR,570,123971
48,WONG Chun Ting,HKG,570,112620
49,THAKKAR Manav,IND,560,123682
50,HUANG Youzheng,CHN,555,137238
51,WEN Ruibo,CHN,545,203067
52,ELBEIALI Mohamed,EGY,542,102486
53,SAREEN Aditya,AUS,537,201504
54,PITCHFORD Liam,ENG,525,112442
55,FENG Yi-Hsin,TPE,525,122727
56,COTON Flavien,FRA,510,144528
57,XU Yingbin,CHN,448,131148
58,WANG Eugene,CAN,442,114247
59,ABDELAZIZ Youssef,EGY,437,116723
60,GERASSIMENKO Kirill,KAZ,435,117890
61,ZENG Beixun,CHN,425,135919
62,FALCK Mattias,SWE,410,112074
63,MENGEL Steffen,GER,410,106050
64,HUANG Yan-Cheng,TPE,410,124572
65,GACINA Andrej,CRO,400,102891
66,IONESCU Eduard,ROU,389,135023
67,LIAO Cheng-Ting,TPE,374,119565
68,STUMPER Kay,GER,357,132022
69,MURAMATSU Yuto,JPN,356,115439
70,BARDET Lilian,FRA,355,122002
71,DESAI Harmeet,IND,355,111641
72,SHAH Manush,IND,349,131879
73,CHANG Yu-An,TPE,328,135924
74,YOSHIMURA Maharu,JPN,324,117113
75,KARLSSON Kristian,SWE,316,104379
76,ALAMIYAN Noshad,IRI,304,110673
77,IIZUKA Leonardo,BRA,304,144891
78,HAMADA Kazuki,JPN,289,134583
79,XU Haidong,CHN,288,133893
80,BERTELSMEIER Andre,GER,285,145799
81,IONESCU Ovidiu,ROU,284,103903
82,KUO Guan-Hong,TPE,280,200044
83,ACHANTA Sharath,IND,280,104314
84,CHO Seungmin,KOR,275,119284
85,OIKAWA Mizuki,JPN,273,120850
86,MA Jinbao,USA,272,135745
87,CHAN Baldwin,HKG,270,133867
88,CHIRITA Iulian,ROU,261,134169
89,LY Edward,CAN,258,122425
90,JOUTI Eric,BRA,247,113419
91,HAUG Borgar,NOR,247,131211
92,APOLONIA Tiago,POR,246,100621
93,PARK Ganghyeon,KOR,235,116820
94,ALLEGRO Martin,BEL,234,114848
95,DORR Esteban,FRA,231,133652
96,SEYFRIED Joe,FRA,230,117002
97,MINO Alberto,ECU,229,106151
98,FREITAS Marcos,POR,225,102841
99,QUEK Izaac,SGP,225,133713
100,OMOTAYO Olajide,NGR,224,113563
101,CIFUENTES Horacio,ARG,214,119316
102,SURAVAJJULA Snehit,IND,214,123680
103,KULCZYCKI Samuel,POL,201,121031
104,DELA Alfred PENA,NZL,200,120698
105,HELMY Mahmoud,EGY,195,116831
106,ROLLAND Jules,FRA,195,123300
107,BATIX Ylane,CMR,194,200157
108,KOZUL Deni,SLO,194,118851
109,GNANASEKARAN Sathiyan,IND,193,103126
110,YUAN Licen,CHN,193,133848
111,SHU Dean,NZL,190,117027
112,SALIFOU Abdel-Kader,BEN,190,108204
113,LORENZO Santiago,ARG,190,132793
114,HABESOHN Daniel,AUT,187,103345
115,PANG Koen,SGP,186,131912
116,MLADENOVIC Luka,LUX,182,120074
117,YOSHIYAMA Ryoichi,JPN,178,136757
118,JANCARIK Lubomir,CZE,178,104036
119,WOO Hyeonggyu,KOR,177,131413
120,DUFERA Darara,ETH,175,145486
121,ABBASI Amirreza,MLT,172,134246
122,CASTRO Rogelio,MEX,171,134849
123,BOULOUSSA Mehdi,ALG,165,113679
124,ESSID Wassim,TUN,164,136170
125,GERALDO Joao,POR,161,115396
126,NUYTINCK Cedric,BEL,160,106814
127,NARESH Nandan,USA,158,135768
128,PARK Gyuhyeon,KOR,156,133813
129,LAM Siu Hang,HKG,156,115546
130,WANG Yang,SVK,151,112735
131,HUNG Jing-Kai,TPE,149,144705
132,TEODORO Guilherme,BRA,147,123031
133,ANDRAS Csaba,HUN,145,123019
134,NING Xiankun,CHN,145,209955
135,OLAH Benedek,FIN,145,110726
136,BOURRASSAUD Florian,FRA,143,120857
137,MENG Fanbo,GER,142,123293
138,AFANADOR Brian,PUR,142,115000
139,KOJIC Frane,CRO,141,104760
140,KIM Taehyun,MLT,141,133347
141,KIM Minhyeok,KOR,139,116818
142,SHAMS Navid,IRI,137,121940
143,JARVIS Tom,ENG,133,121684
144,ALAMIAN Nima,IRI,131,112035
145,MADRID Marcos,MEX,129,105679
146,PISTEJ Lubomir,SVK,128,107445
147,LI Hechen,CHN,127,203472
148,NARESH Sid,USA,126,135769
149,JAIN Payas,IND,124,131917
150,RASSENFOSSE Adrien,BEL,121,123659
151,GIONIS Panagiotis,GRE,120,103107
152,BURGOS Nicolas,CHI,119,133441
153,SAKAI Yuhi,JPN,117,202561
154,ZELJKO Filip,CRO,117,116680
155,KURMANGALIYEV Alan,KAZ,114,137568
156,KWAN Man Ho,HKG,111,115545
157,MEISSNER Cedric,GER,111,133455
158,OYEBODE John,ITA,110,122051
159,MONTEIRO Joao,POR,109,106296
160,BHATTACHARJEE Ankur,IND,107,200316
161,PEREZ Juan,ESP,105,134625
162,HO Kwan Kit,HKG,104,123690
163,FARAJI Benyamin,IRI,102,201238
164,AGUIRRE Marcelo,PAR,100,111115
165,SUN Wen,CHN,99,137733
166,KIM Gaon,KOR,99,137007
167,VERDONSCHOT Wim,GER,99,201466
168,CHOI Timothy,NZL,97,136202
169,SIPOS Rares,ROU,96,120224
170,GOMEZ Gustavo,CHI,95,111683
171,YIU Kwan To,HKG,95,132325
172,SANCHI Francisco,ARG,94,117530
173,YOKOTANI Jo,JPN,94,134317
174,BENTANCOR Martin,ARG,93,122225
175,ZHOU Kai,CHN,92,117345
176,JELLOULI Milhane,ALG,92,135500
177,NIU Guankai,CHN,92,134239
178,BERTRAND Irvin,FRA,92,119092
179,HENDERSON Maxwell,NZL,90,134904
180,BELROSE Ocean,PYF,90,101040
181,FANNY Kokou,TOG,90,118722
182,OBA Oba Kizito,CIV,90,113472
183,GHALLAB Aly,EGY,90,113894
184,DEY Jeremy,NCL,90,102213
185,RAZAFINARIVO Antoine,MAD,90,203934
186,STOYANOV Niagol,ITA,89,109002
187,NARANJO Angel,PUR,89,131446
188,LEE Seungsoo,KOR,89,201164
189,BERZOSA Daniel,ESP,89,133633
190,ISTRATE Andrei,ROU,86,135394
191,PEREIRA Andy,CUB,85,107272
192,PICARD Vincent,FRA,84,121690
193,SRIVASTAVA Divyansh,IND,83,134868
194,LEVENKO Andreas,AUT,83,115449
195,GONZALEZ Daniel,PUR,82,111512
196,ADEGOKE Muizz,NGR,80,200310
197,CHEW Clarence,SGP,80,113395
198,MUTTI Matteo,ITA,79,120287
199,ANDRE Elizandro,ANG,75,117937
200,KUTI Matthew,NGR,75,202627
201,KANG Youde,CHN,73,202982
202,ZHMUDENKO Yaroslav,UKR,73,110602
203,GIL Minseok,KOR,72,136473
204,BAN Ivor,CRO,71,122982
205,KWON Hyuk,KOR,70,135073
206,CHOI Jiwook,KOR,70,201214
207,GARDOS Robert,AUT,68,102968
208,YOSHIYAMA Kazuki,JPN,68,135981
209,DE Rafael LAS HERAS,ESP,68,133042
210,KHEROUF Sami,ALG,67,104514
211,RANEFUR Elias,SWE,66,114410
212,ROSSI Carlo,ITA,66,120285
213,DIAW Ibrahima,SEN,65,113681
214,KOLODZIEJCZYK Maciej,AUT,65,122064
215,PLETEA Cristian,ROU,64,121042
216,RAKOTOARIMANANA Fabio,MAD,63,133367
217,HSU Hsien-Chia,TPE,63,145043
218,ARPAS Samuel,SVK,61,137564
219,NOGUTI Henrique,BRA,60,136409
220,LIANG Jishan,USA,60,121222
221,FILUS Ruwen,GER,59,102761
222,TSENG Tzu-Yu,TPE,59,136984
223,GHOSH Anirban,IND,57,119042
224,WALKER Samuel,ENG,56,114718
225,LI Yan Jun,TPE,56,136056
226,LEI Balazs,HUN,56,135678
227,KIASSI Regis,CGO,55,120787
